trade_id,year,region1,region2,industry1,industry2,amount,total_employment_value,employment_count,unique_employment_factors,economic/employment,employment_People,employment_Hours,employment_intensity
6787,2019,KR,KR,FISHF,FISH5,3183.1,107597975.788,12.0,12.0,107597975.788,451078.172,107146897.615,33802.888941
6430,2019,KR,KR,FINAN,BUSIN,3525.39,105939879.394,12.0,12.0,105939879.394,528599.067,105411280.327,30050.541754
2564,2019,KR,KR,CHEM1,HEALT,3524.4,105529665.638,12.0,12.0,105529665.638,495801.512,105033864.126,29942.590409
20107,2019,KR,KR,WHOLE,RETA1,3198.3,104557938.212,12.0,12.0,104557938.212,369389.963,104188548.249,32691.723169
20109,2019,KR,KR,WHOLE,RUBBE,3171.44,104422876.475,12.0,12.0,104422876.475,638122.089,103784754.386,32926.01357
13888,2019,KR,KR,PIGS9,MEATP,2416.14,100015928.18,12.0,12.0,100015928.18,393797.243,99622130.937,41394.922554
8689,2019,KR,KR,HOTEL,HEALT,2506.23,98585595.764,12.0,12.0,98585595.764,370754.283,98214841.481,39336.212464
17815,2019,KR,KR,STEAM,PLAST,2149.08,98202804.561,12.0,12.0,98202804.561,340734.906,97862069.655,45695.276379
17538,2019,KR,KR,SEACO,SEACO,4127.68,97248154.312,12.0,12.0,97248154.312,778057.741,96470096.571,23560.003274
20031,2019,KR,KR,WHOLE,HEALT,2772.51,96932932.386,12.0,12.0,96932932.386,635306.366,96297626.021,34962.157895
1847,2019,KR,KR,BUSIN,COMPU,2794.18,96536812.844,12.0,12.0,96536812.844,544298.474,95992514.37,34549.246235
11387,2019,KR,KR,MOTO1,MACHI,2729.85,95523885.77,12.0,12.0,95523885.77,432706.97,95091178.8,34992.357005
10502,2019,KR,KR,MACHI,TRANS,3681.26,94132363.122,12.0,12.0,94132363.122,448321.206,93684041.916,25570.691318
6585,2019,KR,KR,FINAN,WHOLE,3068.85,93343420.4,12.0,12.0,93343420.4,444605.905,92898814.495,30416.416703
2503,2019,KR,KR,CHEM1,BASIC,2048.41,92636000.62,12.0,12.0,92636000.62,332304.281,92303696.338,45223.368671
11442,2019,KR,KR,MOTO1,SALEM,2717.17,92602392.852,12.0,12.0,92602392.852,490382.249,92112010.603,34080.456082
2519,2019,KR,KR,CHEM1,CHEM1,3628.77,92359432.207,12.0,12.0,92359432.207,806844.847,91552587.36,25451.993983
14360,2019,KR,KR,POSTT,BUSIN,2226.65,92038686.897,12.0,12.0,92038686.897,416614.579,91622072.318,41335.049018
3434,2019,KR,KR,CONST,CONST,2329.53,91746601.493,12.0,12.0,91746601.493,278188.08,91468413.413,39384.168263
7874,2019,KR,KR,FURNI,PUBLI,3370.4,91418632.635,12.0,12.0,91418632.635,341265.304,91077367.331,27123.97123
8299,2019,KR,KR,HEALT,BUSIN,3227.63,87826180.265,12.0,12.0,87826180.265,579393.553,87246786.712,27210.733654
8375,2019,KR,KR,HEALT,MEMBE,2225.85,86117010.461,12.0,12.0,86117010.461,316474.214,85800536.246,38689.494108
1889,2019,KR,KR,BUSIN,HOTEL,1863.53,83752627.621,12.0,12.0,83752627.621,266965.917,83485661.705,44942.999373
18542,2019,KR,KR,TEXTI,HEALT,2602.01,83647720.562,12.0,12.0,83647720.562,343327.622,83304392.94,32147.347843
1957,2019,KR,KR,BUSIN,REALE,2189.2,83108525.397,12.0,12.0,83108525.397,400525.646,82707999.751,37962.966105
1887,2019,KR,KR,BUSIN,HEALT,3113.34,82578089.334,12.0,12.0,82578089.334,416003.847,82162085.487,26523.954767
1022,2019,KR,KR,BASIC,FURNI,3777.9,82266203.084,12.0,12.0,82266203.084,843224.195,81422978.889,21775.643369
19358,2019,KR,KR,VEGET,FOOD5,3616.52,82047867.066,12.0,12.0,82047867.066,673185.668,81374681.399,22686.966218
20027,2019,KR,KR,WHOLE,FURNI,2546.57,81402445.857,12.0,12.0,81402445.857,314035.647,81088410.21,31965.524551
6558,2019,KR,KR,FINAN,RETA1,2568.74,81370625.608,12.0,12.0,81370625.608,354030.787,81016594.821,31677.252508
7782,2019,KR,KR,FURNI,CONST,2815.02,80164550.643,12.0,12.0,80164550.643,452242.118,79712308.525,28477.435557
6419,2019,KR,KR,FINAN,BASIC,2087.21,80164404.82,12.0,12.0,80164404.82,431439.699,79732965.121,38407.445739
16579,2019,KR,KR,RESEA,RESEA,2392.6,79784209.845,12.0,12.0,79784209.845,478138.03,79306071.815,33346.238337
6547,2019,KR,KR,FINAN,PUBLI,2626.06,79775760.936,12.0,12.0,79775760.936,588029.618,79187731.318,30378.498944
9421,2019,KR,KR,KEROS,BASIC,1618.4,79365202.581,12.0,12.0,79365202.581,350427.345,79014775.236,49039.299667
15982,2019,KR,KR,REALE,WHOLE,1610.59,78614377.059,12.0,12.0,78614377.059,206590.129,78407786.93,48810.918396
10393,2019,KR,KR,MACHI,FABRI,1836.8,75918473.241,12.0,12.0,75918473.241,205173.506,75713299.735,41331.921407
7139,2019,KR,KR,FOOD5,BEVER,1745.76,74805327.712,12.0,12.0,74805327.712,294866.303,74510461.409,42849.720301
16642,2019,KR,KR,RETA1,CONST,1947.95,74690985.153,12.0,12.0,74690985.153,425058.401,74265926.752,38343.379015
18269,2019,KR,KR,SUPPO,SUPPO,2233.34,74036836.854,12.0,12.0,74036836.854,425310.159,73611526.695,33150.723515
20127,2019,KR,KR,WHOLE,TRANS,2784.75,73970648.956,12.0,12.0,73970648.956,353220.487,73617428.469,26562.761094
5066,2019,KR,KR,ELEC2,LANDT,1937.61,73404492.004,12.0,12.0,73404492.004,283398.721,73121093.283,37884.038586
1893,2019,KR,KR,BUSIN,INSUR,1886.13,73193467.698,12.0,12.0,73193467.698,437043.615,72756424.083,38806.162724
14397,2019,KR,KR,POSTT,FINAN,1719.28,73080312.766,12.0,12.0,73080312.766,307917.403,72772395.362,42506.347288
15710,2019,KR,KR,RAWMI,DAIRY,2097.04,72990611.153,12.0,12.0,72990611.153,304106.401,72686504.752,34806.494465
13391,2019,KR,KR,PAPER,PRINT,1853.23,72939696.165,12.0,12.0,72939696.165,307465.947,72632230.218,39358.145597
6443,2019,KR,KR,FINAN,CONST,2888.3,70547212.657,12.0,12.0,70547212.657,582305.628,69964907.029,24425.167973
17183,2019,KR,KR,SALEM,MOTO1,1782.49,70520712.359,12.0,12.0,70520712.359,216554.421,70304157.938,39563.033935
16737,2019,KR,KR,RETA1,PLAST,1999.41,69575635.787,12.0,12.0,69575635.787,195127.401,69380508.387,34798.083328
16944,2019,KR,KR,RUBBE,CHEM1,1455.55,69262864.061,12.0,12.0,69262864.061,326651.718,68936212.343,47585.355406
19967,2019,KR,KR,WHOLE,BASIC,1904.53,68837518.292,12.0,12.0,68837518.292,219046.82,68618471.472,36144.097647
19978,2019,KR,KR,WHOLE,BUSIN,2168.77,68430509.076,12.0,12.0,68430509.076,349298.586,68081210.49,31552.681509
8639,2019,KR,KR,HOTEL,BUSIN,1868.71,68196089.203,12.0,12.0,68196089.203,243706.793,67952382.41,36493.671679
20069,2019,KR,KR,WHOLE,OFFIC,2547.89,67116906.579,12.0,12.0,67116906.579,418829.626,66698076.953,26342.152361
3533,2019,KR,KR,CONST,REALE,1721.34,66335942.111,12.0,12.0,66335942.111,290606.979,66045335.132,38537.384893
1856,2019,KR,KR,BUSIN,EDUCA,2827.0,66043693.149,12.0,12.0,66043693.149,574362.333,65469330.816,23361.759161
8600,2019,KR,KR,HEAVY,STEAM,1881.4,65564600.613,12.0,12.0,65564600.613,306285.138,65258315.476,34848.836299
17657,2019,KR,KR,SECO9,SECO9,2251.19,65489980.597,12.0,12.0,65489980.597,427175.236,65062805.361,29091.271993
16680,2019,KR,KR,RETA1,HEALT,3160.44,65282320.88,12.0,12.0,65282320.88,480093.738,64802227.142,20656.08614
4242,2019,KR,KR,DISTR,BASIC,2292.28,65149793.945,12.0,12.0,65149793.945,240428.374,64909365.571,28421.394396
10028,2019,KR,KR,LEATH,LEATH,1655.32,64504033.023,12.0,12.0,64504033.023,266447.158,64237585.865,38967.711997
