trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
43058,2019,AU,WA,COKIN,WOOLS,24.79,4687722.813,1.0,1.0,4687722.813,4687722.813,4687722.813,189097.330093
14140,2019,AU,FR,BITUM,FOOD5,18.99,4650922.624,1.0,1.0,4650922.624,4650922.624,4650922.624,244914.303528
58676,2019,AU,ZA,BITUM,WHOLE,18.93,4634458.894,1.0,1.0,4634458.894,4634458.894,4634458.894,244820.86075
42223,2019,AU,WA,BITUM,BITUM,17.78,4352913.565,1.0,1.0,4352913.565,4352913.565,4352913.565,244820.785433
58621,2019,AU,ZA,BITUM,BASIC,17.64,4318399.814,1.0,1.0,4318399.814,4318399.814,4318399.814,244807.245692
42353,2019,AU,WA,BITUM,VEGE1,17.61,4311654.83,1.0,1.0,4311654.83,4311654.83,4311654.83,244841.273708
42291,2019,AU,WA,BITUM,MEATP,17.5,4285452.184,1.0,1.0,4285452.184,4285452.184,4285452.184,244882.981943
14392,2019,AU,FR,COKIN,PUBLI,21.82,4125036.444,1.0,1.0,4125036.444,4125036.444,4125036.444,189048.416315
50545,2019,AU,WE,BITUM,CEMEN,16.84,4124279.545,1.0,1.0,4124279.545,4124279.545,4124279.545,244909.711698
4751,2019,AU,CN,BITUM,NATUR,16.41,4018706.986,1.0,1.0,4018706.986,4018706.986,4018706.986,244893.783425
14372,2019,AU,FR,COKIN,COKEO,20.67,3907793.303,1.0,1.0,3907793.303,3907793.303,3907793.303,189056.279777
42215,2019,AU,WA,BITUM,ANTHR,15.92,3897477.498,1.0,1.0,3897477.498,3897477.498,3897477.498,244816.425754
47731,2019,AU,WA,PRECI,WHOLE,22.07,3779531.775,1.0,1.0,3779531.775,3779531.775,3779531.775,171252.006117
4719,2019,AU,CN,BITUM,EDUCA,15.41,3773880.145,1.0,1.0,3773880.145,3773880.145,3773880.145,244898.127515
37856,2019,AU,TR,CATTL,MEATC,20.82,3746696.011,1.0,1.0,3746696.011,3746696.011,3746696.011,179956.58074
14163,2019,AU,FR,BITUM,PLAST,15.09,3695921.551,1.0,1.0,3695921.551,3695921.551,3695921.551,244925.218754
7253,2019,AU,CN,PRECI,MACHI,21.17,3624667.844,1.0,1.0,3624667.844,3624667.844,3624667.844,171217.186774
21276,2019,AU,IN,BITUM,MEMBE,14.73,3605620.373,1.0,1.0,3605620.373,3605620.373,3605620.373,244780.744942
42247,2019,AU,WA,BITUM,EDUCA,14.68,3594703.91,1.0,1.0,3594703.91,3594703.91,3594703.91,244870.838556
8926,2019,AU,DE,BITUM,ELEC1,14.46,3539460.332,1.0,1.0,3539460.332,3539460.332,3539460.332,244775.95657
34043,2019,AU,PL,BITUM,PLAST,14.31,3505071.277,1.0,1.0,3505071.277,3505071.277,3505071.277,244938.593781
4712,2019,AU,CN,BITUM,CONST,14.22,3481758.247,1.0,1.0,3481758.247,3481758.247,3481758.247,244849.384459
52970,2019,AU,WL,BITUM,FISH5,14.08,3447853.995,1.0,1.0,3447853.995,3447853.995,3447853.995,244875.993963
24546,2019,AU,JP,BITUM,WOODW,13.95,3415801.829,1.0,1.0,3415801.829,3415801.829,3415801.829,244860.346165
4778,2019,AU,CN,BITUM,RETAI,13.8,3379589.144,1.0,1.0,3379589.144,3379589.144,3379589.144,244897.764058
42287,2019,AU,WA,BITUM,MEAT1,13.79,3375972.662,1.0,1.0,3375972.662,3375972.662,3375972.662,244813.100943
24521,2019,AU,JP,BITUM,PULP5,13.72,3359631.807,1.0,1.0,3359631.807,3359631.807,3359631.807,244871.122959
21239,2019,AU,IN,BITUM,BRICK,13.69,3352019.805,1.0,1.0,3352019.805,3352019.805,3352019.805,244851.702337
24455,2019,AU,JP,BITUM,CEMEN,13.48,3300066.135,1.0,1.0,3300066.135,3300066.135,3300066.135,244812.027819
1012,2019,AU,BE,BITUM,FOOD3,13.44,3292115.01,1.0,1.0,3292115.01,3292115.01,3292115.01,244949.033482
24448,2019,AU,JP,BITUM,BEVER,13.44,3290006.976,1.0,1.0,3290006.976,3290006.976,3290006.976,244792.185714
14165,2019,AU,FR,BITUM,PUBLI,13.31,3260270.464,1.0,1.0,3260270.464,3260270.464,3260270.464,244948.945455
42262,2019,AU,WA,BITUM,FOOD5,13.15,3219547.217,1.0,1.0,3219547.217,3219547.217,3219547.217,244832.487985
24465,2019,AU,JP,BITUM,COPP1,13.12,3212301.226,1.0,1.0,3212301.226,3212301.226,3212301.226,244840.03247
7243,2019,AU,CN,PRECI,ELECT,18.23,3121814.075,1.0,1.0,3121814.075,3121814.075,3121814.075,171245.972298
42289,2019,AU,WA,BITUM,MEATA,12.68,3104328.883,1.0,1.0,3104328.883,3104328.883,3104328.883,244820.889826
21270,2019,AU,IN,BITUM,LIGNI,12.47,3052201.462,1.0,1.0,3052201.462,3052201.462,3052201.462,244763.549479
14128,2019,AU,FR,BITUM,CEMEN,12.42,3040292.538,1.0,1.0,3040292.538,3040292.538,3040292.538,244790.05942
24533,2019,AU,JP,BITUM,SECO9,12.42,3039979.587,1.0,1.0,3039979.587,3039979.587,3039979.587,244764.862077
