trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
10474,2022,WM,WM,NATUR,NONME,20.19,10858689.541,1.0,1.0,10858689.541,10858689.541,10858689.541,537825.138237
16014,2022,WM,WM,SANDC,MEMBE,5.76,10828310.845,1.0,1.0,10828310.845,10828310.845,10828310.845,1879915.077257
16051,2022,WM,WM,SANDC,RAWMI,5.58,10500029.128,1.0,1.0,10500029.128,10500029.128,10500029.128,1881725.650179
10394,2022,WM,WM,NATUR,AUXIL,19.12,10284413.396,1.0,1.0,10284413.396,10284413.396,10284413.396,537887.729916
16669,2022,WM,WM,STONE,VEGET,28.81,10070869.077,1.0,1.0,10070869.077,10070869.077,10070869.077,349561.578514
16605,2022,WM,WM,STONE,MEATA,28.69,10030740.011,1.0,1.0,10030740.011,10030740.011,10030740.011,349624.956814
10514,2022,WM,WM,NATUR,SALEM,18.09,9728531.21,1.0,1.0,9728531.21,9728531.21,9728531.21,537785.030956
16603,2022,WM,WM,STONE,MEAT1,27.6,9649484.677,1.0,1.0,9649484.677,9649484.677,9649484.677,349619.010036
15954,2022,WM,WM,SANDC,CHEM1,5.07,9533502.572,1.0,1.0,9533502.572,9533502.572,9533502.572,1880375.26075
15961,2022,WM,WM,SANDC,COPP1,5.04,9470081.441,1.0,1.0,9470081.441,9470081.441,9470081.441,1878984.412897
10497,2022,WM,WM,NATUR,PRINT,17.57,9450730.496,1.0,1.0,9450730.496,9450730.496,9450730.496,537890.181901
10450,2022,WM,WM,NATUR,INSUR,17.17,9236686.046,1.0,1.0,9236686.046,9236686.046,9236686.046,537954.924054
16058,2022,WM,WM,SANDC,RETAI,4.9,9213099.395,1.0,1.0,9213099.395,9213099.395,9213099.395,1880224.366327
10485,2022,WM,WM,NATUR,PAPER,16.84,9057100.649,1.0,1.0,9057100.649,9057100.649,9057100.649,537832.580107
16072,2022,WM,WM,SANDC,TRAN1,4.78,8984702.886,1.0,1.0,8984702.886,8984702.886,8984702.886,1879644.95523
10436,2022,WM,WM,NATUR,FOOD5,16.24,8734852.726,1.0,1.0,8734852.726,8734852.726,8734852.726,537860.389532
10415,2022,WM,WM,NATUR,CONST,14.32,7703990.605,1.0,1.0,7703990.605,7703990.605,7703990.605,537988.17074
10406,2022,WM,WM,NATUR,CEREA,14.32,7701458.553,1.0,1.0,7701458.553,7701458.553,7701458.553,537811.351466
16615,2022,WM,WM,STONE,NFERT,22.02,7699459.767,1.0,1.0,7699459.767,7699459.767,7699459.767,349657.573433
10513,2022,WM,WM,NATUR,RUBBE,13.13,7060470.406,1.0,1.0,7060470.406,7060470.406,7060470.406,537735.750647
15952,2022,WM,WM,SANDC,CEREA,3.72,6991302.235,1.0,1.0,6991302.235,6991302.235,6991302.235,1879382.321237
16043,2022,WM,WM,SANDC,PREC1,3.69,6933730.107,1.0,1.0,6933730.107,6933730.107,6933730.107,1879059.649593
16587,2022,WM,WM,STONE,HEALT,19.72,6895466.93,1.0,1.0,6895466.93,6895466.93,6895466.93,349668.708418
10495,2022,WM,WM,NATUR,POULT,12.8,6882387.443,1.0,1.0,6882387.443,6882387.443,6882387.443,537686.518984
16579,2022,WM,WM,STONE,FOOD5,19.54,6832231.616,1.0,1.0,6832231.616,6832231.616,6832231.616,349653.61392
15974,2022,WM,WM,SANDC,ELEC6,3.62,6798162.445,1.0,1.0,6798162.445,6798162.445,6798162.445,1877945.426796
16037,2022,WM,WM,SANDC,PLANT,3.61,6788170.946,1.0,1.0,6788170.946,6788170.946,6788170.946,1880379.763435
16638,2022,WM,WM,STONE,PRIVA,19.15,6696780.207,1.0,1.0,6696780.207,6696780.207,6696780.207,349701.316292
10414,2022,WM,WM,NATUR,COMPU,12.02,6463192.521,1.0,1.0,6463192.521,6463192.521,6463192.521,537703.204742
10506,2022,WM,WM,NATUR,RECRE,11.97,6438475.531,1.0,1.0,6438475.531,6438475.531,6438475.531,537884.338429
16066,2022,WM,WM,SANDC,SUGAR,3.4,6392906.628,1.0,1.0,6392906.628,6392906.628,6392906.628,1880266.655294
16606,2022,WM,WM,STONE,MEATC,18.06,6314919.423,1.0,1.0,6314919.423,6314919.423,6314919.423,349663.312458
10454,2022,WM,WM,NATUR,LANDT,11.37,6113662.495,1.0,1.0,6113662.495,6113662.495,6113662.495,537701.186895
16634,2022,WM,WM,STONE,POSTT,17.4,6084457.834,1.0,1.0,6084457.834,6084457.834,6084457.834,349681.484713
15949,2022,WM,WM,SANDC,CATTL,3.21,6035250.692,1.0,1.0,6035250.692,6035250.692,6035250.692,1880140.402492
10466,2022,WM,WM,NATUR,MEMBE,11.0,5917441.289,1.0,1.0,5917441.289,5917441.289,5917441.289,537949.208091
16004,2022,WM,WM,SANDC,LEAD1,3.09,5816455.344,1.0,1.0,5816455.344,5816455.344,5816455.344,1882348.007767
16571,2022,WM,WM,STONE,FABRI,16.58,5797083.149,1.0,1.0,5797083.149,5797083.149,5797083.149,349643.133233
10490,2022,WM,WM,NATUR,PLANT,10.72,5765396.831,1.0,1.0,5765396.831,5765396.831,5765396.831,537816.868563
10392,2022,WM,WM,NATUR,ALUM1,10.71,5761719.245,1.0,1.0,5761719.245,5761719.245,5761719.245,537975.653128
16028,2022,WM,WM,SANDC,PADDY,3.01,5655515.928,1.0,1.0,5655515.928,5655515.928,5655515.928,1878908.946179
16672,2022,WM,WM,STONE,WHEAT,16.1,5629623.571,1.0,1.0,5629623.571,5629623.571,5629623.571,349666.060311
16530,2022,WM,WM,STONE,AIRTR,15.05,5261138.64,1.0,1.0,5261138.64,5261138.64,5261138.64,349577.318272
16592,2022,WM,WM,STONE,INLAN,14.36,5021306.778,1.0,1.0,5021306.778,5021306.778,5021306.778,349673.173955
16635,2022,WM,WM,STONE,POULT,14.2,4965366.822,1.0,1.0,4965366.822,4965366.822,4965366.822,349673.719859
16593,2022,WM,WM,STONE,INSUR,13.93,4869421.274,1.0,1.0,4869421.274,4869421.274,4869421.274,349563.623403
16674,2022,WM,WM,STONE,WHOLE,13.87,4848047.129,1.0,1.0,4848047.129,4848047.129,4848047.129,349534.760562
10521,2022,WM,WM,NATUR,SUGAR,8.9,4787791.14,1.0,1.0,4787791.14,4787791.14,4787791.14,537954.060674
15964,2022,WM,WM,SANDC,CRUDE,2.52,4746428.537,1.0,1.0,4746428.537,4746428.537,4746428.537,1883503.387698
16544,2022,WM,WM,STONE,CERAM,13.18,4607005.428,1.0,1.0,4607005.428,4607005.428,4607005.428,349545.176631
10428,2022,WM,WM,NATUR,FABRI,8.54,4591847.879,1.0,1.0,4591847.879,4591847.879,4591847.879,537687.105269
16666,2022,WM,WM,STONE,TRAN2,12.89,4507758.964,1.0,1.0,4507758.964,4507758.964,4507758.964,349709.772227
16643,2022,WM,WM,STONE,RAILW,12.63,4415291.815,1.0,1.0,4415291.815,4415291.815,4415291.815,349587.633808
10407,2022,WM,WM,NATUR,CHARC,8.12,4364566.303,1.0,1.0,4364566.303,4364566.303,4364566.303,537508.165394
16597,2022,WM,WM,STONE,LANDT,12.39,4332565.303,1.0,1.0,4332565.303,4332565.303,4332565.303,349682.429621
16533,2022,WM,WM,STONE,AUXIL,12.38,4328793.134,1.0,1.0,4328793.134,4328793.134,4328793.134,349660.18853
16644,2022,WM,WM,STONE,RAWMI,12.3,4299055.687,1.0,1.0,4299055.687,4299055.687,4299055.687,349516.72252
16619,2022,WM,WM,STONE,OFFIC,12.26,4286733.657,1.0,1.0,4286733.657,4286733.657,4286733.657,349652.011175
10413,2022,WM,WM,NATUR,COLLE,7.9,4250507.929,1.0,1.0,4250507.929,4250507.929,4250507.929,538038.978354
16573,2022,WM,WM,STONE,FISH5,12.13,4240259.519,1.0,1.0,4240259.519,4240259.519,4240259.519,349567.973537
10456,2022,WM,WM,NATUR,LEATH,7.81,4202754.2,1.0,1.0,4202754.2,4202754.2,4202754.2,538124.737516
16558,2022,WM,WM,STONE,DAIRY,11.85,4141895.222,1.0,1.0,4141895.222,4141895.222,4141895.222,349527.022954
15976,2022,WM,WM,SANDC,ELECT,2.2,4138538.887,1.0,1.0,4138538.887,4138538.887,4138538.887,1881154.039545
16671,2022,WM,WM,STONE,WEARI,11.67,4080456.472,1.0,1.0,4080456.472,4080456.472,4080456.472,349653.510883
16572,2022,WM,WM,STONE,FINAN,11.62,4063842.274,1.0,1.0,4063842.274,4063842.274,4063842.274,349728.250775
16660,2022,WM,WM,STONE,SUPPO,11.56,4042436.512,1.0,1.0,4042436.512,4042436.512,4042436.512,349691.739792
16015,2022,WM,WM,SANDC,MOTO1,2.14,4019493.909,1.0,1.0,4019493.909,4019493.909,4019493.909,1878268.181776
10427,2022,WM,WM,NATUR,ETHAN,7.45,4004710.482,1.0,1.0,4004710.482,4004710.482,4004710.482,537545.031141
16604,2022,WM,WM,STONE,MEAT4,11.42,3993724.963,1.0,1.0,3993724.963,3993724.963,3993724.963,349713.219177
10418,2022,WM,WM,NATUR,CROPS,7.42,3991951.244,1.0,1.0,3991951.244,3991951.244,3991951.244,537998.819946
10452,2022,WM,WM,NATUR,KERO1,7.4,3981426.636,1.0,1.0,3981426.636,3981426.636,3981426.636,538030.626486
16012,2022,WM,WM,SANDC,MEATP,2.09,3932383.211,1.0,1.0,3932383.211,3932383.211,3932383.211,1881523.067464
16075,2022,WM,WM,SANDC,VEGE1,2.07,3901653.47,1.0,1.0,3901653.47,3901653.47,3901653.47,1884856.748792
16654,2022,WM,WM,STONE,SEACO,10.94,3823831.334,1.0,1.0,3823831.334,3823831.334,3823831.334,349527.544241
16545,2022,WM,WM,STONE,CEREA,10.54,3685365.971,1.0,1.0,3685365.971,3685365.971,3685365.971,349655.215465
16650,2022,WM,WM,STONE,RETA1,10.52,3679375.133,1.0,1.0,3679375.133,3679375.133,3679375.133,349750.487928
10529,2022,WM,WM,NATUR,VEGE1,6.73,3617722.457,1.0,1.0,3617722.457,3617722.457,3617722.457,537551.628083
16646,2022,WM,WM,STONE,RECRE,10.35,3616912.579,1.0,1.0,3616912.579,3616912.579,3616912.579,349460.15256
16552,2022,WM,WM,STONE,COMPU,9.94,3476406.057,1.0,1.0,3476406.057,3476406.057,3476406.057,349739.03994
16583,2022,WM,WM,STONE,FURNI,9.79,3421258.975,1.0,1.0,3421258.975,3421258.975,3421258.975,349464.65526
16536,2022,WM,WM,STONE,BEVER,9.74,3406238.485,1.0,1.0,3406238.485,3406238.485,3406238.485,349716.476899
16574,2022,WM,WM,STONE,FISHF,9.26,3238863.959,1.0,1.0,3238863.959,3238863.959,3238863.959,349769.326026
10401,2022,WM,WM,NATUR,BRICK,6.02,3238564.579,1.0,1.0,3238564.579,3238564.579,3238564.579,537967.53804
10420,2022,WM,WM,NATUR,DAIRY,5.98,3217860.138,1.0,1.0,3217860.138,3217860.138,3217860.138,538103.702007
16653,2022,WM,WM,STONE,SALEM,9.02,3152990.607,1.0,1.0,3152990.607,3152990.607,3152990.607,349555.499667
16664,2022,WM,WM,STONE,TOBAC,8.92,3117760.587,1.0,1.0,3117760.587,3117760.587,3117760.587,349524.729484
10397,2022,WM,WM,NATUR,BEVER,5.73,3079873.183,1.0,1.0,3079873.183,3079873.183,3079873.183,537499.682897
10421,2022,WM,WM,NATUR,DIST1,5.61,3016917.214,1.0,1.0,3016917.214,3016917.214,3016917.214,537774.904456
10501,2022,WM,WM,NATUR,PULP5,5.6,3012902.482,1.0,1.0,3012902.482,3012902.482,3012902.482,538018.300357
16599,2022,WM,WM,STONE,LEATH,8.46,2956595.03,1.0,1.0,2956595.03,2956595.03,2956595.03,349479.317967
16663,2022,WM,WM,STONE,TEXTI,8.13,2843433.87,1.0,1.0,2843433.87,2843433.87,2843433.87,349745.863469
16542,2022,WM,WM,STONE,CATTL,8.02,2803713.966,1.0,1.0,2803713.966,2803713.966,2803713.966,349590.270075
15988,2022,WM,WM,SANDC,FORES,1.48,2785481.567,1.0,1.0,2785481.567,2785481.567,2785481.567,1882082.139865
16551,2022,WM,WM,STONE,COLLE,7.95,2778642.86,1.0,1.0,2778642.86,2778642.86,2778642.86,349514.825157
