trade_id,year,region1,region2,industry1,industry2,amount,total_impact_value,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
10772,2019,WM,WM,MEDIC,RETA1,170.6,29192197561.34,3.0,2.0,29192196530.009,0.0,1031.331,0.0,0.0,0.0,29192196530.009,0.0,0.0,1031.331,0.0,171114874.333763
4457,2019,WM,WM,ELEC2,MEAT1,66.22,29178420995.806,5.0,3.0,29178419327.087,0.0,1663.661,0.0,0.0,5.058,29178419327.087,5.058,0.0,1663.661,0.0,440628526.061703
4464,2019,WM,WM,ELEC2,MOTO1,65.81,28997268728.361,5.0,3.0,28997267070.002,0.0,1653.332,0.0,0.0,5.026,28997267070.002,5.026,0.0,1653.332,0.0,440621010.915682
4466,2019,WM,WM,ELEC2,NAPHT,65.41,28819434164.867,5.0,3.0,28819432516.678,0.0,1643.193,0.0,0.0,4.996,28819432516.678,4.996,0.0,1643.193,0.0,440596761.425883
270,2019,WM,WM,AIRTR,RETA1,312.53,28808418962.418,1.0,1.0,28808418962.418,0.0,0.0,0.0,0.0,0.0,28808418962.418,0.0,0.0,0.0,0.0,92178091.582946
4470,2019,WM,WM,ELEC2,NONF1,65.05,28662427391.244,5.0,3.0,28662425752.035,0.0,1634.241,0.0,0.0,4.968,28662425752.035,4.968,0.0,1634.241,0.0,440621481.802367
4994,2019,WM,WM,ELEC6,FOOD5,99.0,28336698821.835,4.0,2.0,28336697669.001,0.0,1152.834,0.0,0.0,0.0,28336697669.001,0.0,0.0,1152.834,0.0,286229281.028636
162,2019,WM,WM,AIRTR,COMPU,302.53,27886788407.819,1.0,1.0,27886788407.819,0.0,0.0,0.0,0.0,0.0,27886788407.819,0.0,0.0,0.0,0.0,92178588.595574
200,2019,WM,WM,AIRTR,HEALT,294.84,27177875765.814,1.0,1.0,27177875765.814,0.0,0.0,0.0,0.0,0.0,27177875765.814,0.0,0.0,0.0,0.0,92178387.484107
206,2019,WM,WM,AIRTR,INSUR,291.51,26870425516.731,1.0,1.0,26870425516.731,0.0,0.0,0.0,0.0,0.0,26870425516.731,0.0,0.0,0.0,0.0,92176685.248297
5027,2019,WM,WM,ELEC6,MOTOR,87.97,25180091677.491,4.0,2.0,25180090653.079,0.0,1024.412,0.0,0.0,0.0,25180090653.079,0.0,0.0,1024.412,0.0,286234985.534739
1850,2019,WM,WM,CEMEN,CEMEN,315.94,24397489699.8,1.0,1.0,24397489699.8,0.0,0.0,0.0,0.0,0.0,24397489699.8,0.0,0.0,0.0,0.0,77221908.27309
4942,2019,WM,WM,ELEC6,93197,82.17,23520819121.061,4.0,2.0,23520818164.154,0.0,956.907,0.0,0.0,0.0,23520818164.154,0.0,0.0,956.907,0.0,286245821.115504
11384,2019,WM,WM,NATUR,WHOLE,312.62,22474377618.373,2.0,2.0,22305616439.311,0.0,0.0,0.0,168761179.062,0.0,22305616439.311,0.0,0.0,0.0,0.0,71890402.464247
5016,2019,WM,WM,ELEC6,LIQUE,78.21,22387714462.45,4.0,2.0,22387713551.641,0.0,910.809,0.0,0.0,0.0,22387713551.641,0.0,0.0,910.809,0.0,286251303.700933
5082,2019,WM,WM,ELEC6,SUPPO,77.44,22167115762.413,4.0,2.0,22167114860.579,0.0,901.834,0.0,0.0,0.0,22167114860.579,0.0,0.0,901.834,0.0,286248912.221242
141,2019,WM,WM,AIRTR,AUXIL,233.82,21553279715.278,1.0,1.0,21553279715.278,0.0,0.0,0.0,0.0,0.0,21553279715.278,0.0,0.0,0.0,0.0,92178939.84808
